SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.750000
---------------------------
Steps Taken: 10 | Time Diff: 2610.46
Steps Taken: 11 | Time Diff: 2615.57
Steps Taken: 12 | Time Diff: 2620.67
Steps Taken: 13 | Time Diff: 2625.77
Steps Taken: 14 | Time Diff: 2630.87
Steps Taken: 15 | Time Diff: 2635.98
Steps Taken: 16 | Time Diff: 2641.09
Steps Taken: 17 | Time Diff: 2646.19
Steps Taken: 18 | Time Diff: 2651.29
Steps Taken: 19 | Time Diff: 2656.39
Steps Taken: 20 | Time Diff: 2661.49
Steps Taken: 21 | Time Diff: 2666.59
Steps Taken: 22 | Time Diff: 2671.69
Steps Taken: 23 | Time Diff: 2676.79
Steps Taken: 24 | Time Diff: 2681.89
Steps Taken: 25 | Time Diff: 2686.99
Steps Taken: 26 | Time Diff: 2692.08
Steps Taken: 27 | Time Diff: 2697.17
Steps Taken: 28 | Time Diff: 2702.27
Steps Taken: 29 | Time Diff: 2707.36
Steps Taken: 30 | Time Diff: 2712.46
Steps Taken: 31 | Time Diff: 2717.56
Steps Taken: 32 | Time Diff: 2722.65
Steps Taken: 33 | Time Diff: 2727.75
Steps Taken: 34 | Time Diff: 2732.85
Steps Taken: 35 | Time Diff: 2737.96
Steps Taken: 36 | Time Diff: 2743.07
Steps Taken: 37 | Time Diff: 2748.17
Steps Taken: 38 | Time Diff: 2753.27
Steps Taken: 39 | Time Diff: 2758.37
Steps Taken: 40 | Time Diff: 2763.47
Steps Taken: 41 | Time Diff: 2768.57
Steps Taken: 42 | Time Diff: 2773.68
Steps Taken: 43 | Time Diff: 2778.8
Steps Taken: 44 | Time Diff: 2783.9
Steps Taken: 45 | Time Diff: 2788.99
Steps Taken: 46 | Time Diff: 2794.1
